actionId,categoryId,statement,statementKo,sortOrder
t1-01,c1-inquiry,電話で問い合わせを受け付けられる,전화로 문의를 접수할 수 있다,1
t1-02,c1-inquiry,メールで問い合わせを受け付けられる,메일로 문의를 접수할 수 있다,2
t1-03,c1-inquiry,チャットツールで問い合わせを受け付けられる,채팅 도구로 문의를 접수할 수 있다,3
t1-04,c1-inquiry,問い合わせ内容を正確に聞き取れる,문의 내용을 정확히 청취할 수 있다,4
t1-05,c1-inquiry,聞き取った内容を復唱して認識合わせができる,청취한 내용을 복창해 인식을 맞출 수 있다,5
t1-06,c1-inquiry,問い合わせの要点を整理できる,문의의 요점을 정리할 수 있다,6
t1-07,c1-inquiry,よくある問い合わせの種類を説明できる,자주 오는 문의의 종류를 설명할 수 있다,7
t1-08,c1-inquiry,問い合わせごとの引き継ぎ先を説明できる,문의별 인계처를 설명할 수 있다,8
t1-09,c1-inquiry,FAQ・ナレッジを検索して回答を探せる,FAQ·지식베이스를 검색해 답을 찾을 수 있다,9
t1-10,c1-inquiry,定型的な問い合わせに手順書に沿って回答できる,정형적인 문의에 절차서에 따라 회답할 수 있다,10
t1-11,c1-inquiry,自分で対応できない問い合わせを見分けられる,스스로 대응할 수 없는 문의를 분별할 수 있다,11
t1-12,c1-inquiry,対応できない問い合わせを担当者へ引き継げる,대응할 수 없는 문의를 담당자에게 인계할 수 있다,12
t1-13,c1-inquiry,問い合わせの受付から完了までの流れを説明できる,문의 접수부터 완료까지의 흐름을 설명할 수 있다,13
t1-14,c1-inquiry,対応の優先順位のルールを説明できる,대응 우선순위 룰을 설명할 수 있다,14
t1-15,c1-inquiry,問い合わせ時に必要な情報（利用者・対象システム・発生時刻など）を確認できる,문의 시 필요한 정보(이용자·대상 시스템·발생 시각 등)를 확인할 수 있다,15
t1-16,c1-inquiry,問い合わせを所定の受付システムへ登録できる,문의를 정해진 접수 시스템에 등록할 수 있다,16
t1-17,c1-inquiry,問い合わせの担当者と対応状況を更新できる,문의의 담당자와 대응 상황을 갱신할 수 있다,17
t1-18,c1-inquiry,利用者へ対応完了を連絡できる,이용자에게 대응 완료를 연락할 수 있다,18
